n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
10 1 1 1 0 ras True True 0.00243 0.012 0.0 199.28 199.28 199.28 1
10 1 1 1 1 ras True True 0.0026 0.011 0.0 199.28 199.28 199.28 1
10 1 1 1 2 ras True True 0.00224 0.009 0.0 199.28 199.28 199.28 1
10 1 1 2 0 ras True True 0.00551 0.025 0.0 199.28 199.28 199.28 1
10 1 1 2 1 ras True True 0.02304 0.077 0.0 199.28 199.28 199.28 1
10 1 1 2 2 ras True True 0.03641 0.043 0.0 199.28 199.28 199.28 1
10 1 1 3 0 ras True True 0.00472 0.025 0.0 199.28 199.28 199.28 1
10 1 1 3 1 ras True True 0.00883 0.044 0.0 199.28 199.28 199.28 1
10 1 1 3 2 ras True True 0.03521 0.048 0.0 199.28 199.28 199.28 1
10 1 2 1 0 ras True True 0.00235 0.012 0.0 197.57 197.57 197.57 1
10 1 2 1 1 ras True True 0.00257 0.012 0.0 197.57 197.57 197.57 1
10 1 2 1 2 ras True True 0.00222 0.008 0.0 197.57 197.57 197.57 1
10 1 2 2 0 ras True True 0.00627 0.023 0.0 197.57 197.57 197.57 1
10 1 2 2 1 ras True True 0.02249 0.072 0.0 197.57 197.57 197.57 1
10 1 2 2 2 ras True True 0.03691 0.042 0.0 197.57 197.57 197.57 1
10 1 2 3 0 ras True True 0.00595 0.023 0.0 197.57 197.57 197.57 1
10 1 2 3 1 ras True True 0.00754 0.043 0.0 197.57 197.57 197.57 1
10 1 2 3 2 ras True True 0.03528 0.048 0.0 197.57 197.57 197.57 1
10 1 3 1 0 ras True True 0.00242 0.012 0.0 179.4 179.4 179.4 1
10 1 3 1 1 ras True True 0.00367 0.012 0.0 179.4 179.4 179.4 1
10 1 3 1 2 ras True True 0.0032 0.009 0.0 179.4 179.4 179.4 1
10 1 3 2 0 ras True True 0.00556 0.025 0.0 179.4 179.4 179.4 1
10 1 3 2 1 ras True True 0.02254 0.073 0.0 179.4 179.4 179.4 1
10 1 3 2 2 ras True True 0.03647 0.045 0.0 179.4 179.4 179.4 1
10 1 3 3 0 ras True True 0.00478 0.024 0.0 179.4 179.4 179.4 1
10 1 3 3 1 ras True True 0.00781 0.04 0.0 179.4 179.4 179.4 1
10 1 3 3 2 ras True True 0.03347 0.056 0.0 179.4 179.4 179.4 1
10 1 4 1 0 ras True True 0.00242 0.011 0.0 177.37 177.37 177.37 1
10 1 4 1 1 ras True True 0.00252 0.012 0.0 177.37 177.37 177.37 1
10 1 4 1 2 ras True True 0.0022 0.009 0.0 177.37 177.37 177.37 1
10 1 4 2 0 ras True True 0.0056 0.025 0.0 177.37 177.37 177.37 1
10 1 4 2 1 ras True True 0.02236 0.081 0.0 177.37 177.37 177.37 1
10 1 4 2 2 ras True True 0.036 0.045 0.0 177.37 177.37 177.37 1
10 1 4 3 0 ras True True 0.00517 0.025 0.0 177.37 177.37 177.37 1
10 1 4 3 1 ras True True 0.00742 0.042 0.0 177.37 177.37 177.37 1
10 1 4 3 2 ras True True 0.03421 0.05 0.0 177.37 177.37 177.37 1
10 1 5 1 0 ras True True 0.00235 0.011 0.0 186.9 186.9 186.9 1
10 1 5 1 1 ras True True 0.00316 0.011 0.0 186.9 186.9 186.9 1
10 1 5 1 2 ras True True 0.00222 0.008 0.0 186.9 186.9 186.9 1
10 1 5 2 0 ras True True 0.00515 0.023 0.0 186.9 186.9 186.9 1
10 1 5 2 1 ras True True 0.02288 0.071 0.0 186.9 186.9 186.9 1
10 1 5 2 2 ras True True 0.03627 0.042 0.0 186.9 186.9 186.9 1
10 1 5 3 0 ras True True 0.00496 0.023 0.0 186.9 186.9 186.9 1
10 1 5 3 1 ras True True 0.0081 0.038 0.0 186.9 186.9 186.9 1
10 1 5 3 2 ras True True 0.03414 0.046 0.0 186.9 186.9 186.9 1
10 2 1 1 0 ras True True 0.00232 0.021 0.0 110.42 110.42 110.42 1
10 2 1 1 1 ras True True 0.00257 0.13 0.0 110.42 110.42 110.42 1
10 2 1 1 2 ras True True 0.0028 0.11 0.07 110.42 110.42 110.348 1
10 2 1 2 0 ras True True 0.00575 0.023 0.0 110.42 110.42 110.42 1
10 2 1 2 1 ras True True 0.02288 0.084 0.0 110.42 110.42 110.42 1
10 2 1 2 2 ras True True 0.03673 0.055 0.0 110.42 110.42 110.42 1
10 2 1 3 0 ras True True 0.00475 0.037 0.0 110.42 110.42 110.42 1
10 2 1 3 1 ras True True 0.00864 0.044 0.0 110.42 110.42 110.42 1
10 2 1 3 2 ras True True 0.03504 0.117 0.0 110.42 110.42 110.42 1
10 2 2 1 0 ras True True 0.00233 0.091 0.0 171.23 171.23 171.23 1
10 2 2 1 1 ras True True 0.00269 0.178 0.05 171.23 171.23 171.137 1
10 2 2 1 2 ras True True 0.00355 0.12 0.0 171.23 171.23 171.23 1
10 2 2 2 0 ras True True 0.00526 0.025 0.0 171.23 171.23 171.23 1
10 2 2 2 1 ras True True 0.02249 0.531 0.0 171.23 171.23 171.23 1
10 2 2 2 2 ras True True 0.03627 0.202 0.0 171.23 171.23 171.23 1
10 2 2 3 0 ras True True 0.00479 0.029 0.0 171.23 171.23 171.23 1
10 2 2 3 1 ras True True 0.00747 0.057 0.0 171.23 171.23 171.23 1
10 2 2 3 2 ras True True 0.03432 0.107 0.0 171.23 171.23 171.23 1
10 2 3 1 0 ras True True 0.00245 0.094 0.0 148.0 148.0 148.0 1
10 2 3 1 1 ras True True 0.00322 0.183 0.0 148.0 148.0 148.0 1
10 2 3 1 2 ras True True 0.00329 0.112 0.1 148.0 148.0 147.852 1
10 2 3 2 0 ras True True 0.00649 0.032 0.0 148.0 148.0 148.0 1
10 2 3 2 1 ras True True 0.02261 0.179 0.0 148.0 148.0 148.0 1
10 2 3 2 2 ras True True 0.03583 0.093 0.0 148.0 148.0 148.0 1
10 2 3 3 0 ras True True 0.00597 0.034 0.0 148.0 148.0 148.0 1
10 2 3 3 1 ras True True 0.00755 0.209 0.0 148.0 148.0 148.0 1
10 2 3 3 2 ras True True 0.0349 0.11 0.0 148.0 148.0 148.0 1
10 2 4 1 0 ras True True 0.00231 0.019 0.0 169.46 169.46 169.46 1
10 2 4 1 1 ras True True 0.00262 0.13 0.25 169.46 169.46 169.035 1
10 2 4 1 2 ras True True 0.00282 0.097 0.0 169.46 169.46 169.46 1
10 2 4 2 0 ras True True 0.00539 0.04 0.0 169.46 169.46 169.46 1
10 2 4 2 1 ras True True 0.02267 0.47 0.0 169.46 169.46 169.46 1
