n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
20 2 1 1 0 ras True True 0.00593 0.732 0.0 206.23 206.23 206.23 1
20 2 1 1 1 ras True True 0.00642 3.379 0.16 206.23 206.23 205.909 1
20 2 1 1 2 ras True True 0.00527 1.384 0.0 206.23 206.23 206.23 1
20 2 1 2 0 ras True True 0.05726 1.293 0.0 206.23 206.23 206.23 1
20 2 1 2 1 ras True True 0.21824 10.262 0.0 206.23 206.23 206.23 1
20 2 1 2 2 ras True True 0.44282 2.979 0.0 206.23 206.23 206.23 1
20 2 1 3 0 ras True True 0.05546 0.722 0.0 206.23 206.23 206.23 1
20 2 1 3 1 ras True True 0.08256 2.713 0.0 206.23 206.23 206.23 1
20 2 1 3 2 ras True True 0.43234 2.212 0.0 206.23 206.23 206.23 1
20 2 2 1 0 ras True True 0.0057 0.573 0.0 214.95 214.95 214.95 1
20 2 2 1 1 ras True True 0.00673 2.489 0.3 215.6 215.6 214.95 1
20 2 2 1 2 ras True True 0.0053 1.54 0.32 214.95 214.95 214.268 1
20 2 2 2 0 ras True True 0.05864 1.759 0.0 214.95 214.95 214.95 1
20 2 2 2 1 ras True True 0.21713 15.037 0.0 214.95 214.95 214.95 1
20 2 2 2 2 ras True True 0.43824 5.103 0.0 214.95 214.95 214.95 1
20 2 2 3 0 ras True True 0.05671 0.717 0.0 214.95 214.95 214.95 1
20 2 2 3 1 ras True True 0.08648 2.04 0.0 214.95 214.95 214.95 1
20 2 2 3 2 ras True True 0.42625 3.421 0.0 214.95 214.95 214.95 1
20 2 3 1 0 ras True True 0.00566 0.73 0.26 231.37 231.37 230.78 1
20 2 3 1 1 ras True True 0.00673 1.306 0.0 230.78 230.78 230.78 1
20 2 3 1 2 ras True True 0.00659 1.4 0.26 231.37 231.37 230.78 1
20 2 3 2 0 ras True True 0.06114 1.813 0.17 230.78 230.78 230.39 1
20 2 3 2 1 ras True True 0.2275 12.243 0.0 230.78 230.78 230.78 1
20 2 3 2 2 ras True True 0.45912 6.331 0.0 230.78 230.78 230.78 1
20 2 3 3 0 ras True True 0.05462 0.562 0.0 230.78 230.78 230.78 1
20 2 3 3 1 ras True True 0.08676 1.114 0.0 230.78 230.78 230.78 1
20 2 3 3 2 ras True True 0.42723 2.352 0.0 230.78 230.78 230.78 1
20 2 4 1 0 ras True True 0.00598 0.688 0.0 221.72 221.72 221.72 1
20 2 4 1 1 ras True True 0.00748 0.945 0.0 221.72 221.72 221.72 1
20 2 4 1 2 ras True True 0.00593 1.34 0.0 221.72 221.72 221.72 1
20 2 4 2 0 ras True True 0.05903 1.621 0.29 221.72 221.72 221.076 1
20 2 4 2 1 ras True True 0.22454 14.978 0.0 221.72 221.72 221.72 1
20 2 4 2 2 ras True True 0.46328 4.639 0.29 221.72 221.72 221.086 1
20 2 4 3 0 ras True True 0.05918 0.726 0.0 221.72 221.72 221.72 1
20 2 4 3 1 ras True True 0.08922 3.219 0.0 221.72 221.72 221.72 1
20 2 4 3 2 ras True True 0.43743 3.15 0.0 221.72 221.72 221.72 1
20 2 5 1 0 ras True True 0.00591 0.629 0.0 201.88 201.88 201.88 1
20 2 5 1 1 ras True True 0.00748 1.976 0.0 201.88 201.88 201.88 1
20 2 5 1 2 ras True True 0.0055 1.349 0.0 201.88 201.88 201.88 1
20 2 5 2 0 ras True True 0.06195 0.401 0.0 201.88 201.88 201.88 1
20 2 5 2 1 ras True True 0.22562 11.728 0.0 201.88 201.88 201.88 1
20 2 5 2 2 ras True True 0.46636 1.971 0.0 201.88 201.88 201.88 1
20 2 5 3 0 ras True True 0.05783 0.658 0.0 201.88 201.88 201.88 1
20 2 5 3 1 ras True True 0.08882 1.234 0.0 201.88 201.88 201.88 1
20 2 5 3 2 ras True True 0.43223 2.86 0.0 201.88 201.88 201.88 1
