n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
5 1 1 1 0 ras True True 0.00152 0.005 0.0 124.91 124.91 124.91 1
5 1 1 1 1 ras True True 0.00145 0.005 0.0 124.91 124.91 124.91 1
5 1 1 1 2 ras True True 0.0015 0.005 0.0 124.91 124.91 124.91 1
5 1 1 2 0 ras True True 0.00138 0.005 0.0 124.91 124.91 124.91 1
5 1 1 2 1 ras True True 0.0025 0.008 0.0 124.91 124.91 124.91 1
5 1 1 2 2 ras True True 0.00324 0.007 0.0 124.91 124.91 124.91 1
5 1 1 3 0 ras True True 0.00149 0.005 0.0 124.91 124.91 124.91 1
5 1 1 3 1 ras True True 0.00214 0.008 0.0 124.91 124.91 124.91 1
5 1 1 3 2 ras True True 0.00315 0.008 0.0 124.91 124.91 124.91 1
5 1 2 1 0 ras True True 0.00132 0.005 0.0 147.3 147.3 147.3 1
5 1 2 1 1 ras True True 0.00138 0.006 0.0 147.3 147.3 147.3 1
5 1 2 1 2 ras True True 0.00129 0.004 0.0 147.3 147.3 147.3 1
5 1 2 2 0 ras True True 0.00123 0.005 0.0 147.3 147.3 147.3 1
5 1 2 2 1 ras True True 0.002 0.008 0.0 147.3 147.3 147.3 1
5 1 2 2 2 ras True True 0.00304 0.007 0.0 147.3 147.3 147.3 1
5 1 2 3 0 ras True True 0.00123 0.005 0.0 147.3 147.3 147.3 1
5 1 2 3 1 ras True True 0.00207 0.007 0.0 147.3 147.3 147.3 1
5 1 2 3 2 ras True True 0.00321 0.008 0.0 147.3 147.3 147.3 1
5 1 3 1 0 ras True True 0.00174 0.006 0.0 137.19 137.19 137.19 1
5 1 3 1 1 ras True True 0.00141 0.005 0.0 137.19 137.19 137.19 1
5 1 3 1 2 ras True True 0.00138 0.005 0.0 137.19 137.19 137.19 1
5 1 3 2 0 ras True True 0.00129 0.005 0.0 137.19 137.19 137.19 1
5 1 3 2 1 ras True True 0.00212 0.009 0.0 137.19 137.19 137.19 1
5 1 3 2 2 ras True True 0.00409 0.008 0.0 137.19 137.19 137.19 1
5 1 3 3 0 ras True True 0.00129 0.005 0.0 137.19 137.19 137.19 1
5 1 3 3 1 ras True True 0.00253 0.007 0.0 137.19 137.19 137.19 1
5 1 3 3 2 ras True True 0.00313 0.008 0.0 137.19 137.19 137.19 1
5 1 4 1 0 ras True True 0.00149 0.005 0.0 122.2 122.2 122.2 1
5 1 4 1 1 ras True True 0.00148 0.005 0.0 122.2 122.2 122.2 1
5 1 4 1 2 ras True True 0.00164 0.005 0.0 122.2 122.2 122.2 1
5 1 4 2 0 ras True True 0.0013 0.008 0.0 122.2 122.2 122.2 1
5 1 4 2 1 ras True True 0.00212 0.008 0.0 122.2 122.2 122.2 1
5 1 4 2 2 ras True True 0.0041 0.007 0.0 122.2 122.2 122.2 1
5 1 4 3 0 ras True True 0.00126 0.005 0.0 122.2 122.2 122.2 1
5 1 4 3 1 ras True True 0.00272 0.008 0.0 122.2 122.2 122.2 1
5 1 4 3 2 ras True True 0.00319 0.008 0.0 122.2 122.2 122.2 1
5 1 5 1 0 ras True True 0.00149 0.006 0.0 112.29 112.29 112.29 1
5 1 5 1 1 ras True True 0.00146 0.005 0.0 112.29 112.29 112.29 1
5 1 5 1 2 ras True True 0.00137 0.005 0.0 112.29 112.29 112.29 1
5 1 5 2 0 ras True True 0.00128 0.005 0.0 112.29 112.29 112.29 1
